Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Otras Velocidades,Total Velocidades,Mbps (Media de bajada),ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total Accesos,Banda ancha fija,Dial up,Total dial_BAf,Accesos por cada 100 hogares,Accesos por cada 100 hab
2014,2,Chaco,412,14854,41530,5418,1085,5,0,0,63304,3.42,53321,9870,30,0,58,63279,63243,36,63279,20.96,5.6
2014,2,Chubut,2064,6582,61868,0,0,0,0,0,70514,3.16,51070,649,866,10960,6974,70519,68503,2016,70519,41.41,12.7
2014,2,Córdoba,2105,101598,429536,28698,14824,76,627,0,577464,3.56,337825,234729,351,3673,374,576952,576747,205,576952,53.45,16.37
2014,2,Corrientes,20,15563,41219,5199,956,0,0,0,62957,3.37,52883,8680,31,1309,55,62958,62925,33,62958,22.58,5.95
2014,2,Entre Ríos,2187,32781,86757,12564,1162,0,44,0,135495,3.31,108900,21706,49,4795,133,135583,135468,115,135583,34.69,10.37
2014,2,Formosa,2032,8218,13944,1321,85,0,0,0,25600,2.65,20894,4628,0,0,78,25600,25535,65,25600,17.54,4.46
2014,2,Jujuy,1873,11233,18851,2305,82,0,0,0,34344,2.77,30128,4161,23,40,9,34361,34359,2,34361,18.71,4.78
2014,2,La Pampa,7032,6761,34089,18,5,4,10,0,47919,2.68,15957,32600,513,5869,689,55628,55048,580,55628,49.71,16.38
2014,2,La Rioja,10,4785,9719,1337,61,0,0,0,15912,3.1,15864,0,14,0,34,15912,15889,23,15912,16.5,4.39
2014,2,Mendoza,35,6,166710,31,10,5,10,0,166807,3.5,148979,13030,2480,36,2282,166807,165046,1761,166807,32.1,8.96
2014,2,Misiones,540,13644,53245,5924,1334,2,0,0,74689,3.54,56933,17594,4,150,8,74689,74689,0,74689,23.37,6.37
