Año,Trimestre,Hasta 512 kbps,Entre 512 Kbps y 1 Mbps,Entre 1 Mbps y 6 Mbps,Entre 6 Mbps y 10 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Más de 30 Mbps,Otras Velocidades,Total Velocidades,Mbps (Media de bajada),ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total Accesos,Banda ancha fija,Dial up,Total dial_BAf,Accesos por cada 100 hogares,Accesos por cada 100 hab,Ingresos (miles de pesos),ADSL (%),Cablemodem (%),Fibra óptica (%),Wireless (%),Otros (%),Ingresos ADSL,Ingresos Cablemodem,Ingresos Fibra óptica,Ingresos Wireless,Ingresos Otros
2018,1,7309,215406,3272724,976956,2068087,862010,397977,236584,8037053,13.22,3574294,3981129,217460,165300,98870,8037053,8009981,27072,8037053,58.82,18.12,13171459.23,44.47269415792082,49.53468640806524,2.7057181282741323,2.056724025585,1.230177280154803,5857702.779493133,6524441.024946664,356382.56014434644,270900.56650354306,162032.29891231275
2017,4,15041,221474,3773159,1005545,1730353,631946,337559,155145,7870222,12.01,3584311,3818157,211425,155775,100554,7870222,7842778,27444,7870222,57.78,17.79,11226127.39,45.542692442474944,48.51396822097268,2.686391819697081,1.9792961367544653,1.277651380100841,5112680.67042814,5446239.87443051,301577.7678737334,222198.3057374049,143430.77153021353
2017,3,19022,217997,4062226,1062810,1592304,353480,245790,0,7553629,8.34,3622575,3670221,193964,106443,131740,7724943,7696594,28349,7724943,56.9,17.51,10065997.86,46.894520775104745,47.511302025141156,2.5108793683008406,1.3779130797469963,1.7053847517062584,4720401.457679299,4782486.645108845,252745.0634803441,138700.70111999274,171663.99261151828
2017,2,22366,222766,4416065,990281,1342000,231604,98635,0,7323717,7.16,3723518,3383434,180777,85813,56122,7429664,7401134,28530,7429664,54.9,16.88,9678646.93,50.1169097283538,45.53952910925716,2.433178674028866,1.155005125400018,0.7553773629601553,4850638.744834186,4407610.236069574,235498.77303530954,111788.86811087148,73110.30795005804
2017,1,20653,230159,4584534,975027,1129987,210668,47990,0,7199018,6.62,3708898,3276251,180146,84813,55746,7305854,7277314,28540,7305854,54.16,16.64,8701201.42,50.76611166880696,44.8441893309119,2.4657760749119815,1.1608909786590313,0.7630319467101313,4417261.629405016,3901983.2388487947,214552.1428442616,101011.46231973152,66392.9465821956
2016,4,20724,233398,4673339,971094,1038029,169522,38590,0,7144696,6.34,3722794,3210602,178070,85119,55088,7251673,7223128,28545,7251673,53.94,16.56,7483980.39,51.337036294934975,44.27394892185569,2.4555712867913377,1.1737843115650692,0.7596591848529298,3842053.729120116,3313453.655190296,183774.47356593437,87845.78769842628,56852.74442522712
2016,3,20104,294413,4816081,936533,919208,124564,31022,0,7141925,5.94,3776442,3124855,169898,81455,54300,7206950,7178340,28610,7206950,53.73,16.5,6912441.54,52.40000277509904,43.35891049611833,2.3574188803862937,1.1302284600281673,0.7534393883681724,3622119.5587870986,2997159.3404251034,162955.20195962506,78126.38156788934,52081.05726028347
2016,2,44008,384221,5058481,796998,785759,73977,29020,0,7172464,5.42,3782085,3035272,167788,85452,59482,7130079,7097604,32475,7130079,53.34,16.37,6534240.6,53.04408268127183,42.569963109805656,2.3532418084007203,1.1984719944898228,0.8342404060319669,3466027.9864572324,2781623.8129259436,153766.48166069406,78311.04364358376,54511.27531254562
2016,1,30428,404810,4944358,762999,641646,27664,23380,0,6835285,5.08,3792493,2806359,164371,85370,58763,6907356,6874704,32652,6907356,51.85,15.9,5936844.89,54.905133020507414,40.62855599161242,2.3796514903821375,1.2359287692714838,0.8507307282265458,3259632.584075697,2412054.350268831,141276.21790656078,73375.17398253398,50506.563766377476
2015,4,34243,427394,5049640,726740,639011,17568,22170,0,6916766,4.99,3803024,2898226,139187,85726,58668,6984831,6952289,32542,6984831,52.63,16.12,5376899.21,54.4469007195736,41.493144214942355,1.9927039036449128,1.2273167382288848,0.8399344236102492,2927554.974660237,2231044.543497396,107145.68045272247,65991.58400202668,45162.427387617536
2015,3,35030,455777,5087802,701187,539414,13101,20677,0,6852988,4.79,3788696,2840203,162663,84530,58976,6935068,6902267,32801,6935068,52.46,16.05,5153738.88,54.63098559379663,40.95421991536348,2.345514131945065,1.218877738473509,0.8504026204213139,2815538.345074696,2110673.5547787906,120881.67375394731,62817.77590737395,43827.530485192074
2015,2,40723,500175,5138431,645440,432762,10045,18529,0,6786105,4.55,3767821,2756294,150839,82077,59157,6816188,6783279,32909,6816188,51.76,15.82,4701790.72,55.27753929322372,40.43747032798978,2.2129524596445993,1.2041481250223731,0.8678897941195285,2599034.2127331463,1901285.227284177,104048.3933855815,56616.52479735593,40806.3617997391
2015,1,41158,516919,5121423,571620,348102,7643,16347,0,6623212,4.35,3756153,2668248,168188,79098,66045,6737732,6699714,38018,6737732,51.36,15.68,4876385.32,55.74803212713121,39.60157512943525,2.496210891142598,1.1739558652674222,0.9802259870235266,2718488.8548363103,1931125.3961005516,121724.86145191884,57246.61147717956,47799.59613404036
2014,4,44075,554749,5084556,496251,276254,4371,15229,0,6475485,4.16,3764038,2536219,149682,76984,71573,6598496,6559172,39324,6598496,50.5,15.39,3950440.78,57.04387787762545,38.436319427942365,2.2684260170802557,1.1666901063515078,1.0846865710004219,2253484.614171114,1518404.037012498,89612.82644286819,46089.401737535336,42849.90063598432
2014,3,37430,608018,5153437,373372,182483,507,12424,0,6367671,3.87,3714764,2569868,155494,85096,70049,6595271,6559264,36007,6595271,50.67,15.43,3478637.74,56.32466050295734,38.96531317666855,2.3576589953619798,1.290257822612596,1.0621095023995224,1959330.897182748,1355462.089672785,82014.41559316669,44883.395560704026,36946.941990595995
2014,2,41064,656408,5149574,341689,147273,478,12259,0,6348745,3.76,3708882,2461670,149363,72405,72148,6464468,6428329,36139,6464468,49.86,15.16,3270816.2,57.37335230060695,38.08000905875008,2.3105226911170416,1.1200457640133727,1.1160701855125588,1876576.901531325,1245527.105255065,75572.95048573216,36634.638296763165,36504.60443111483
2014,1,52684,687619,5130294,289182,101127,345,11595,0,6272846,3.62,3697066,2407330,150323,70749,72930,6398398,6362108,36290,6398398,49.55,15.05,2984054.21,57.7811195864965,37.62394899473274,2.349384955421654,1.1057299030163488,1.1398165603327581,1724219.9316059833,1122719.0339455751,70106.92067136649,32995.579722188275,34012.744054886854
